annee;loi;type_donnee;axe;niveau1_id;niveau1;niveau2_id;niveau2;type_budget;montant_md_euros
2018;plr;ae;ministere;16491;Justice;16502;Accès au droit et à la justice;Budget général;0.430142288
2018;plr;ae;ministere;16491;Justice;16507;Administration pénitentiaire;Budget général;3.40532367
2018;plr;ae;ministere;16491;Justice;16550;Justice judiciaire;Budget général;3.354017314
2018;plr;ae;ministere;16491;Justice;16562;Protection judiciaire de la jeunesse;Budget général;0.835871668
2018;plr;ae;ministere;16491;Justice;16599;Conduite et pilotage de la politique de la justice;Budget général;0.42403692
2018;plr;ae;ministere;16491;Justice;16602;Conseil supérieur de la magistrature;Budget général;0.003970843
2018;plr;ae;ministere;16495;Travail;16503;Accès et retour à l'emploi;Budget général;4.862089725
2018;plr;ae;ministere;16495;Travail;16504;Accompagnement des mutations économiques et développement de l'emploi;Budget général;6.025985691
2018;plr;ae;ministere;16495;Travail;16510;Amélioration de la qualité de l'emploi et des relations du travail;Budget général;0.139985121
2018;plr;ae;ministere;16495;Travail;16540;Conception, gestion et évaluation des politiques de l'emploi et du travail;Budget général;0.68049335
2018;plr;ae;ministere;16495;Travail;16642;Répartition régionale de la ressource consacrée au développement de l'apprentissage;Comptes d'affectation spéciale;1.38994
2018;plr;ae;ministere;16495;Travail;16643;Correction financière des disparités régionales de taxe d'apprentissage et incitations au développement de l'apprentissage;Comptes d'affectation spéciale;0.299967699
2018;plr;ae;ministere;16490;Intérieur;16505;Intégration et accès à la nationalité française;Budget général;0.302991132
2018;plr;ae;ministere;16490;Intérieur;16515;Concours financiers aux collectivités territoriales et à leurs groupements;Budget général;3.495814071
2018;plr;ae;ministere;16490;Intérieur;16516;Concours spécifiques et administration;Budget général;0.190832466
2018;plr;ae;ministere;16490;Intérieur;16539;Gendarmerie nationale;Budget général;8.916232135
2018;plr;ae;ministere;16490;Intérieur;16545;Sécurité civile;Budget général;0.768513946
2018;plr;ae;ministere;16490;Intérieur;16557;Police nationale;Budget général;10.808826007
2018;plr;ae;ministere;16490;Intérieur;16579;Sécurité et éducation routières;Budget général;0.038280017
2018;plr;ae;ministere;16490;Intérieur;16584;Conduite et pilotage des politiques de l'intérieur;Budget général;0.858115124
2018;plr;ae;ministere;16490;Intérieur;16592;Vie politique, cultuelle et associative;Budget général;0.171395162
2018;plr;ae;ministere;16490;Intérieur;16594;Immigration et asile;Budget général;1.221097072
2018;plr;ae;ministere;16490;Intérieur;16597;Administration territoriale;Budget général;1.726912632
2018;plr;ae;ministere;16490;Intérieur;16632;Structures et dispositifs de sécurité routière;Comptes d'affectation spéciale;0.29217542
2018;plr;ae;ministere;16490;Intérieur;16633;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;Comptes d'affectation spéciale;0.0262
