nom;Budget général;Comptes d'affectation spéciale;Comptes de concours financiers;
Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);141.17432;;;
Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;;;135.69574;
Pensions civiles et militaires de retraite et allocations temporaires d'invalidité;;66.6564341;;
Gestion fiscale et financière de l'État et du secteur public local;8.280991833;;;
Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);4.426;;;
Régimes sociaux et de retraite des transports terrestres;4.1858876;;;
Ouvriers des établissements industriels de l'État;;2.102709694;;
Facilitation et sécurisation des échanges;1.833471524;;;
Pensions militaires d'invalidité et des victimes de guerre et autres pensions;;1.170424549;;
Régimes de retraite des mines, de la SEITA, et divers;1.070727503;;;
Conduite et pilotage des politiques économiques et financières;1.040365959;;;
Désendettement de l'État;;0.751444;;
Assemblée nationale;0.607648;;;
Dépenses accidentelles et imprévisibles;0.425;;;
Sénat;0.3534709;;;
Provision relative aux rémunérations publiques;0.35;;;
Fonction publique;0.22451106;;;
Performance et résilience des bâtiments de l'État et de ses opérateurs;0.2172925;;;
Opérations immobilières et entretien des bâtiments de l'État;;0.204;;
Présidence de la République;0.122564;;;
Conduite et pilotage de la transformation et de la fonction publiques;0.052857117;;;
Transformation publique;0.0425523;;;
La Chaîne parlementaire;0.0355969;;;
Conseil constitutionnel;0.02;;;
Cour de justice de la République;0.0009;;;
