nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Action et comptes publics;164.464157196;;70.885012343;135.69574;
Économie, finances et souveraineté industrielle, énergétique et numérique;78.804133296;;5.74199;10.677843;
Armées et anciens combattants;94.624089267;;;;
Éducation nationale;87.851512353;;;;
Travail et solidarités;34.810586432;;;;
Intérieur;33.682984955;;0.3705206;;
Enseignement supérieur, recherche et espace;29.415349573;;;;
Ville et logement;22.093874054;;;;
Santé, familles, autonomie et personnes handicapées;18.280016027;;;;
Justice;12.589503218;;;;
Transports;5.9020821;2.545535736;;;
Culture;4.473699231;;;3.8633165;
Transition écologique, biodiversité et négociations internationales sur le climat et la nature;7.951089337;;;;
Agriculture, agro-alimentaire et souveraineté alimentaire;6.305164115;;0.171;;
Europe et affaires étrangères;6.374278154;;;;
Aménagement du territoire et de la décentralisation;4.90551479;;0.806735;;
Outre-Mer;3.552528146;;;;
Services du Premier ministre;2.559114403;0.14569435;;;
Sports, jeunesse et vie associative;1.609484629;;;;
