nom;Budget général;Comptes d'affectation spéciale;Comptes de concours financiers;
Charge de la dette et trésorerie de l'État (crédits évaluatifs);58.615;;;
Service public de l'énergie;10.08980788;;;
Avances à l'Agence de services et de paiement, au titre du préfinancement des aides communautaires de la politique agricole commune;;;9;
Opérations en capital intéressant les participations financières de l'État;;5.38369;;
Développement des entreprises et régulations;2.490703657;;;
Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;1.473952;;;
Aide économique et financière au développement;1.301609;;;
Énergie, climat et après-mines;1.10883203;;;
Appels en garantie de l'État (crédits évaluatifs);0.790363;;;
Stratégies économiques;0.664278673;;;
Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs);0.661;;;
Prêts du Trésor à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;;;0.6;
Recherche et enseignement supérieur en matière économique et industrielle;0.565920844;;;
Statistiques et études économiques;0.487634002;;;
Électrification rurale;;0.3553;;
Sûreté nucléaire et radioprotection;0.3429589;;;
Soutien à la filière nickel en Nouvelle Calédonie;;;0.29;
Prêts à des États étrangers pour consolidation de dettes envers la France;;;0.211793;
Avances à des organismes distincts de l'État et gérant des services publics;;;0.21;
Avances aux collectivités et établissements publics, à la Nouvelle-Calédonie et aux collectivités régies par l’article 74 de la Constitution;;;0.206;
Renforcement des fonds propres de l'Agence française de développement;0.1;;;
Épargne;0.0961666;;;
Prêts pour le développement économique et social;;;0.075;
Prêts à FranceAgriMer au titre des préfinancements de fonds européens;;;0.04;
Prêts et avances à des services de l'État;;;0.03;
Plan France Très haut débit;0.01590671;;;
Avances à l'Office national d'indemnisation des accidents médicaux, des affections iatrogènes et des infections nosocomiales (ONIAM) au titre de l'indemnisation des victimes du Benfluorex;;;0.015;
Opérations de maîtrise de la demande d'électricité, de production d'électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;;0.003;;
Prêts et avances pour le logement des agents de l'État;;;0.00005;
Dotation du Mécanisme européen de stabilité;;;;
Fonds de soutien relatif aux prêts et contrats financiers structurés à risque;;;;
Prêts à l'Agence française de développement en vue de favoriser le développement économique et social dans des États étrangers;;;;
