nom;Budget général;Comptes d'affectation spéciale;
Police nationale;14.28952889;;
Gendarmerie nationale;11.12270047;;
Administration territoriale de l'État;2.78962401;;
Conduite et pilotage des politiques de l'intérieur;1.906992367;;
Immigration et asile;1.8450051;;
Sécurité civile;0.986942591;;
Intégration et accès à la nationalité française;0.36400754;;
Structures et dispositifs de sécurité routière;;0.3443399;
Vie politique;0.299561357;;
Sécurité et éducation routières;0.07862263;;
Contrôle et modernisation de la politique de la circulation et du stationnement routiers;;0.0261807;
